194.72.112.130 - - [21/Nov/2015:04:05:31 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.72.112.130 - - [21/Nov/2015:04:05:32 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.72.112.130 - - [21/Nov/2015:04:05:33 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.72.112.130 - - [21/Nov/2015:04:05:34 +0000] "GET /manager/html HTTP/1.1" 401 2474
194.72.112.130 - - [21/Nov/2015:04:05:36 +0000] "GET /manager/html HTTP/1.1" 401 2474
74.82.47.3 - - [21/Nov/2015:06:23:58 +0000] "GET / HTTP/1.1" 200 11197
137.116.71.170 - - [21/Nov/2015:06:38:46 +0000] "GET /robots.txt HTTP/1.1" 404 971
91.196.50.33 - - [21/Nov/2015:06:43:44 +0000] "GET /testproxy.php HTTP/1.1" 404 977
107.150.55.54 - - [21/Nov/2015:09:38:33 +0000] "GET / HTTP/1.1" 200 11197
58.221.47.25 - - [21/Nov/2015:14:18:49 +0000] "GET /axis2/axis2-admin/ HTTP/1.1" 404 987
185.25.151.159 - - [21/Nov/2015:17:24:57 +0000] "GET /testproxy.php HTTP/1.1" 404 977
78.188.20.23 - - [21/Nov/2015:23:20:24 +0000] "GET /etc/lib/pChart2/examples/imageMap/index.php HTTP/1.1" 404 1037
