213.42.95.134 - - [31/Jul/2016:04:30:56 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:30:56 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:30:57 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:30:58 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:16 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:17 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:17 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:18 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:18 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:19 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:19 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:20 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:21 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:24 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:25 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:25 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:26 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:26 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:27 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:27 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:28 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:28 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:29 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:29 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:30 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:31 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:31 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:32 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:32 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:33 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:33 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:34 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:34 +0000] "GET /manager/html HTTP/1.1" 401 2474
