10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /file HTTP/1.1" 404 959
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /en/main.js HTTP/1.1" 404 971
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /mgmt/login?dest=%2Fmgmt%2Fgui%3Fp%3Dhome&reason=&username= HTTP/1.1" 404 971
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /wavemaster.internal HTTP/1.1" 404 989
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /dms2/Login.jsp HTTP/1.1" 404 979
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /+CSCOE+/win.js HTTP/1.1" 404 979
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /login HTTP/1.1" 404 961
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "NZAYUB / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /home.htm HTTP/1.1" 404 967
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /sws/data/sws_data.js HTTP/1.1" 404 991
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /wcd/system.xml HTTP/1.1" 404 979
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /js/Device.js HTTP/1.1" 404 975
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /ptz.htm HTTP/1.1" 404 965
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /admin/login.jsp HTTP/1.1" 404 981
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /login.php HTTP/1.1" 404 969
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /this_server/all_settings.shtml HTTP/1.1" 404 1011
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /authenticate/login HTTP/1.1" 404 987
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /index.html HTTP/1.1" 404 971
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /start.js HTTP/1.1" 404 967
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /tmui/ HTTP/1.1" 404 961
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /login HTTP/1.1" 404 961
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /netmri/config/userAdmin/login.tdf HTTP/1.1" 404 1017
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /scgi-bin/platform.cgi HTTP/1.1" 404 993
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /admin/login.do HTTP/1.1" 404 979
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /7D7h9BD8ZbjF.html HTTP/1.1" 404 985
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /links_en.html HTTP/1.1" 404 977
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /7D7h9BD8ZbjF.cgi HTTP/1.1" 404 983
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /en/main.js HTTP/1.1" 404 971
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /mgmt/login?dest=%2Fmgmt%2Fgui%3Fp%3Dhome&reason=&username= HTTP/1.1" 404 971
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /7D7h9BD8ZbjF.sh HTTP/1.1" 404 981
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /dms2/Login.jsp HTTP/1.1" 404 979
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /7D7h9BD8ZbjF.pl HTTP/1.1" 404 981
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /index.php HTTP/1.1" 404 969
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /7D7h9BD8ZbjF.inc HTTP/1.1" 404 983
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /login HTTP/1.1" 404 961
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /7D7h9BD8ZbjF.shtml HTTP/1.1" 404 987
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /home.htm HTTP/1.1" 404 967
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /7D7h9BD8ZbjF.asp HTTP/1.1" 404 983
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /sws/data/sws_data.js HTTP/1.1" 404 991
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /7D7h9BD8ZbjF.php HTTP/1.1" 404 983
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /wcd/system.xml HTTP/1.1" 404 979
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /7D7h9BD8ZbjF.php3 HTTP/1.1" 404 985
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /7D7h9BD8ZbjF.cfm HTTP/1.1" 404 983
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /js/Device.js HTTP/1.1" 404 975
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /cgi-bin/7D7h9BD8ZbjF.html HTTP/1.1" 404 1001
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /ptz.htm HTTP/1.1" 404 965
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /cgi-bin/7D7h9BD8ZbjF.cgi HTTP/1.1" 404 999
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /admin/login.jsp HTTP/1.1" 404 981
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /cgi-bin/7D7h9BD8ZbjF.sh HTTP/1.1" 404 997
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /cgi-bin/7D7h9BD8ZbjF.pl HTTP/1.1" 404 997
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /cgi-bin/7D7h9BD8ZbjF.inc HTTP/1.1" 404 999
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /cgi-bin/7D7h9BD8ZbjF.shtml HTTP/1.1" 404 1003
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /cgi-bin/7D7h9BD8ZbjF.asp HTTP/1.1" 404 999
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /cgi-bin/7D7h9BD8ZbjF.php HTTP/1.1" 404 999
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /cgi-bin/7D7h9BD8ZbjF.php3 HTTP/1.1" 404 1001
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /cgi-bin/7D7h9BD8ZbjF.cfm HTTP/1.1" 404 999
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /scripts/7D7h9BD8ZbjF.html HTTP/1.1" 404 1001
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /scripts/7D7h9BD8ZbjF.cgi HTTP/1.1" 404 999
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /scripts/7D7h9BD8ZbjF.sh HTTP/1.1" 404 997
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /scripts/7D7h9BD8ZbjF.pl HTTP/1.1" 404 997
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /scripts/7D7h9BD8ZbjF.inc HTTP/1.1" 404 999
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /scripts/7D7h9BD8ZbjF.shtml HTTP/1.1" 404 1003
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /scripts/7D7h9BD8ZbjF.asp HTTP/1.1" 404 999
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /scripts/7D7h9BD8ZbjF.php HTTP/1.1" 404 999
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /scripts/7D7h9BD8ZbjF.php3 HTTP/1.1" 404 1001
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /scripts/7D7h9BD8ZbjF.cfm HTTP/1.1" 404 999
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /7D7h9BD8ZbjF.html HTTP/1.1" 404 985
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /7D7h9BD8ZbjF.cgi HTTP/1.1" 404 983
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /7D7h9BD8ZbjF.sh HTTP/1.1" 404 981
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /7D7h9BD8ZbjF.pl HTTP/1.1" 404 981
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /7D7h9BD8ZbjF.inc HTTP/1.1" 404 983
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /7D7h9BD8ZbjF.shtml HTTP/1.1" 404 987
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /7D7h9BD8ZbjF.asp HTTP/1.1" 404 983
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /7D7h9BD8ZbjF.php HTTP/1.1" 404 983
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /7D7h9BD8ZbjF.php3 HTTP/1.1" 404 985
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /7D7h9BD8ZbjF.cfm HTTP/1.1" 404 983
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /cgi-bin/7D7h9BD8ZbjF.html HTTP/1.1" 404 1001
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /cgi-bin/7D7h9BD8ZbjF.cgi HTTP/1.1" 404 999
10.0.6.67 - - [21/Mar/2017:14:14:51 +0000] "GET /cgi-bin/7D7h9BD8ZbjF.sh HTTP/1.1" 404 997
10.0.6.67 - - [21/Mar/2017:14:14:52 +0000] "GET /cgi-bin/7D7h9BD8ZbjF.pl HTTP/1.1" 404 997
10.0.6.67 - - [21/Mar/2017:14:14:52 +0000] "GET /cgi-bin/7D7h9BD8ZbjF.inc HTTP/1.1" 404 999
10.0.6.67 - - [21/Mar/2017:14:14:52 +0000] "GET /cgi-bin/7D7h9BD8ZbjF.shtml HTTP/1.1" 404 1003
10.0.6.67 - - [21/Mar/2017:14:14:52 +0000] "GET /cgi-bin/7D7h9BD8ZbjF.asp HTTP/1.1" 404 999
10.0.6.67 - - [21/Mar/2017:14:14:52 +0000] "GET /cgi-bin/7D7h9BD8ZbjF.php HTTP/1.1" 404 999
10.0.6.67 - - [21/Mar/2017:14:14:52 +0000] "GET /cgi-bin/7D7h9BD8ZbjF.php3 HTTP/1.1" 404 1001
10.0.6.67 - - [21/Mar/2017:14:14:52 +0000] "GET /cgi-bin/7D7h9BD8ZbjF.cfm HTTP/1.1" 404 999
10.0.6.67 - - [21/Mar/2017:14:14:52 +0000] "GET /scripts/7D7h9BD8ZbjF.html HTTP/1.1" 404 1001
10.0.6.67 - - [21/Mar/2017:14:14:52 +0000] "GET /scripts/7D7h9BD8ZbjF.cgi HTTP/1.1" 404 999
10.0.6.67 - - [21/Mar/2017:14:14:52 +0000] "GET /scripts/7D7h9BD8ZbjF.sh HTTP/1.1" 404 997
10.0.6.67 - - [21/Mar/2017:14:14:52 +0000] "GET /scripts/7D7h9BD8ZbjF.pl HTTP/1.1" 404 997
10.0.6.67 - - [21/Mar/2017:14:14:52 +0000] "GET /scripts/7D7h9BD8ZbjF.inc HTTP/1.1" 404 999
10.0.6.67 - - [21/Mar/2017:14:14:52 +0000] "GET /scripts/7D7h9BD8ZbjF.shtml HTTP/1.1" 404 1003
10.0.6.67 - - [21/Mar/2017:14:14:52 +0000] "GET /scripts/7D7h9BD8ZbjF.asp HTTP/1.1" 404 999
10.0.6.67 - - [21/Mar/2017:14:14:52 +0000] "GET /scripts/7D7h9BD8ZbjF.php HTTP/1.1" 404 999
10.0.6.67 - - [21/Mar/2017:14:14:52 +0000] "GET /scripts/7D7h9BD8ZbjF.php3 HTTP/1.1" 404 1001
10.0.6.67 - - [21/Mar/2017:14:14:52 +0000] "GET /scripts/7D7h9BD8ZbjF.cfm HTTP/1.1" 404 999
10.0.6.67 - - [21/Mar/2017:14:14:52 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:52 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:53 +0000] "GET /login.htm HTTP/1.1" 404 969
10.0.6.67 - - [21/Mar/2017:14:14:53 +0000] "GET /login.htm HTTP/1.1" 404 969
10.0.6.67 - - [21/Mar/2017:14:14:53 +0000] "GET /HNAP1/ HTTP/1.1" 404 963
10.0.6.67 - - [21/Mar/2017:14:14:53 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:53 +0000] "GET /HNAP1/ HTTP/1.1" 404 963
10.0.6.67 - - [21/Mar/2017:14:14:53 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:53 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:53 +0000] "GET /login?redirects=10 HTTP/1.1" 404 961
10.0.6.67 - - [21/Mar/2017:14:14:53 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:53 +0000] "GET /login?redirects=10 HTTP/1.1" 404 961
10.0.6.67 - - [21/Mar/2017:14:14:53 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:53 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:53 +0000] "GET /login?redirects=10 HTTP/1.1" 404 961
10.0.6.67 - - [21/Mar/2017:14:14:53 +0000] "GET /login?redirects=10 HTTP/1.1" 404 961
10.0.6.67 - - [21/Mar/2017:14:14:53 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:53 +0000] "GET /login?redirects=10 HTTP/1.1" 404 961
10.0.6.67 - - [21/Mar/2017:14:14:53 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:14:53 +0000] "GET /login?redirects=10 HTTP/1.1" 404 961
10.0.6.67 - - [21/Mar/2017:14:15:00 +0000] "GET / HTTP/1.1" 200 11197
10.0.6.67 - - [21/Mar/2017:14:15:00 +0000] "POST /sdk HTTP/1.1" 404 957
185.25.148.240 - - [21/Mar/2017:16:36:18 +0000] "GET /testproxy.php HTTP/1.1" 404 977
183.129.160.229 - - [21/Mar/2017:18:04:09 +0000] "GET /current_config/passwd HTTP/1.1" 404 993
222.186.58.145 - - [21/Mar/2017:18:27:10 +0000] "GET / HTTP/1.1" 200 11197
222.186.58.145 - - [21/Mar/2017:18:28:18 +0000] "GET / HTTP/1.1" 200 11197
12.215.48.67 - - [21/Mar/2017:20:20:32 +0000] "GET / HTTP/1.1" 200 11197
12.215.48.67 - - [21/Mar/2017:20:20:33 +0000] "GET / HTTP/1.1" 200 11197
12.215.48.67 - - [21/Mar/2017:20:20:33 +0000] "GET /owa/ HTTP/1.1" 404 959
66.249.75.45 - - [21/Mar/2017:21:23:56 +0000] "GET /robots.txt HTTP/1.1" 404 971
66.249.75.45 - - [21/Mar/2017:21:23:56 +0000] "GET / HTTP/1.1" 200 11197
66.249.75.39 - - [21/Mar/2017:21:23:57 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
66.249.75.49 - - [21/Mar/2017:22:04:46 +0000] "GET /robots.txt HTTP/1.1" 404 971
66.249.75.51 - - [21/Mar/2017:22:04:46 +0000] "GET / HTTP/1.1" 200 11197
66.249.75.49 - - [21/Mar/2017:22:04:48 +0000] "GET /tomcat.css HTTP/1.1" 200 5576
183.129.160.229 - - [21/Mar/2017:22:47:58 +0000] "GET / HTTP/1.1" 200 11197
