INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:408)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at org.apache.coyote.ajp.AjpProcessor.process(AjpProcessor.java:193)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at org.apache.coyote.AbstractProtocol$AbstractConnectionHandler.process(AbstractProtocol.java:607)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at org.apache.tomcat.util.net.JIoEndpoint$SocketProcessor.run(JIoEndpoint.java:313)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:615)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at java.lang.Thread.run(Thread.java:745)
INFO   | jvm 1    | 2017/04/16 19:16:48 | Caused by: java.net.SocketException: Broken pipe
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at java.net.SocketOutputStream.socketWrite0(Native Method)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at java.net.SocketOutputStream.socketWrite(SocketOutputStream.java:113)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at java.net.SocketOutputStream.write(SocketOutputStream.java:159)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at java.io.BufferedOutputStream.flushBuffer(BufferedOutputStream.java:82)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at java.io.BufferedOutputStream.flush(BufferedOutputStream.java:140)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	at com.mysql.jdbc.MysqlIO.send(MysqlIO.java:3832)
INFO   | jvm 1    | 2017/04/16 19:16:48 | 	... 34 more
INFO   | jvm 1    | 2017/04/16 19:16:48 | Error while closing
INFO   | jvm 1    | 2017/04/16 19:16:48 | Remove connection from pool
INFO   | jvm 1    | 2017/04/16 19:16:48 | New connection added in pool
INFO   | jvm 1    | 2017/04/16 19:16:48 | Connection back to Pool
INFO   | jvm 1    | 2017/04/16 19:17:26 | 2171
INFO   | jvm 1    | 2017/04/16 19:17:27 | Used memory is bytes: 366041296
INFO   | jvm 1    | 2017/04/16 19:17:27 | Connection Count 1
INFO   | jvm 1    | 2017/04/16 19:17:27 | Releasing connection back to pool
INFO   | jvm 1    | 2017/04/16 19:17:27 | Connection Count 1
INFO   | jvm 1    | 2017/04/16 19:17:27 | Releasing connection back to pool
INFO   | jvm 1    | 2017/04/16 19:17:27 | Used memory is megabytes: 349
INFO   | jvm 1    | 2017/04/16 19:17:28 | 23
INFO   | jvm 1    | 2017/04/16 19:17:28 | connection is idle true connection release count 2
INFO   | jvm 1    | 2017/04/16 19:17:28 | Error while closing
INFO   | jvm 1    | 2017/04/16 19:17:28 | Remove connection from pool
INFO   | jvm 1    | 2017/04/16 19:17:28 | New connection added in pool
INFO   | jvm 1    | 2017/04/16 19:17:28 | Connection back to Pool
INFO   | jvm 1    | 2017/04/16 19:17:31 | 23
INFO   | jvm 1    | 2017/04/16 19:17:31 | connection is idle true connection release count 2
INFO   | jvm 1    | 2017/04/16 19:17:31 | Error while closing
